contact_name,contact_email,name,location,founded_date,visible,category,target_client,business_model,description,main_url,twitter_url,angellist_url,crunchbase_url,all_tags,codex_presenter,codex_presentation_date
,,Abe.,"Toronto, ON, Canada",2014,true,Marketplace - ,Individuals,Legal Service Using Tech,Find lawyers recommended by experienced entrepreneurs.,http://www.abelegal.com/,https://twitter.com/abe_legal,n/a,n/a,"web, find-a-lawyer, entrepreneur, recommendation",,
,,AfterIGo,"San Francisco, CA, USA",2013,true,Document Automation - ,Individuals,Legal Service Using Tech,Be a hero to those you love,http://www.afterigo.com/,https://twitter.com/AfterIGo,https://angel.co/after-i-go-inc,n/a,"wills, estates",,
,,AfterSteps,"New York, NY, USA",2011,true,Document Automation - ,Individuals,Legal Service Using Tech,Online end-of-life planning platform.,http://www.aftersteps.com,https://twitter.com/AfterStepsCo,https://angel.co/aftersteps,http://www.crunchbase.com/organization/aftersteps,"wills, estates",,
,,AgileLaw,"Austin, TX, USA",2011,true,Practice Management - ,Service Providers,Legal Tech,Paperless Depositions for Attorneys,http://www.agilelaw.com/,https://twitter.com/agilelaw,n/a,http://www.crunchbase.com/organization/agilelaw,depositions,,
,,Ampulse,"Golden, CO, USA",2016,true,Legal Education - ,Individuals,Legal Service Using Tech,Legal Education,ampulse.com,,https://angel.co/ampulse?utm_source=companies,,legal education,,
,,ASCAPPE,"Houston, TX, USA",2015,true,Document Automation - ,Individuals,Legal Tech,"It's a web and mobile application that makes it easy to keep track of structural compliance requirements like probation officer fees, hearings, community service hours/confirmations, bail requirements and more.",ascappe.com,,https://angel.co/ascappe-1?utm_source=companies,,"compliance, parole, probation",,
Alan Nathanson,"",Align Matters,"Los Angeles, CA, USA",2015,true,Practice Management - ,Companies,Legal Tech,GPS For Legal,alignmatters.com,"","","","law-firms, workflow",true,2015-07-16
Stephen Kane,kane@arbiclaims.com,Arbiclaims,"Los Angeles, CA, USA",2015,true,Online Dispute Resolution - ,Individuals,Legal Service Using Tech,We replace small claims court with online arbitration for <$5-10K legal claims. In doing so we provide our customers with a quicker/better alternative to small claims court.,Arbiclaims.com,"",https://angel.co/arbiclaims?utm_source=companies,"","arbitration, dispute resolution, odr",true,2015-10-08
,,Caseflex,"New York, NY, USA",2012,true,Legal Research -  Docket retrieval,Service Providers,Legal Service Using Tech,Next Generation Legal Research,http://caseflex.com/,n/a,n/a,http://www.crunchbase.com/organization/litigain,research,,
"","",AdviseHub,"Sunnyvale, CA, USA",2013,true,Marketplace - ,Individuals,Legal Service Using Tech,"AdviseHub makes immigration and visas faster, easier and cheaper. Our platform is an end-to-end, client centered immigration planning and management system.",advisehub.com,https://twitter.com/advise_hub,https://angel.co/advisehub?utm_source=companies,"","immigration, lawyer marketplace",false,
"","",Advocatalog,"Barcelona, Spain",2011,true,Marketplace - ,Individuals,Legal Service Using Tech,Advocatalog is a marketplace for lawyers which will make the legal sector more transparent and accessible to the consumer. It will offer access to lawyers from 10 Euros.,http://www.advocatalog.com/,"",https://angel.co/advocatalog-1?utm_source=companies,"","",false,
"","",AI Patents,"Raleigh, NC, USA",2012,true,Legal Research - ,Companies,Legal Tech,We developed a revolutionary patent search engine that addresses the problem that the same idea can be described in multiple ways.,www.aipatents.com,https://twitter.com/aipatents,https://angel.co/ai-patents?utm_source=companies,"","patents, patent search, saas",false,
"","",AirHelp,"New York, NY, USA",2013,true,Document Automation - ,Companies,Legal Service Using Tech,"AirHelp fights for your right to compensation when your flight is delayed, cancelled or overbooked. AirHelp does all the paperwork, follow up and legal actions.",https://www.airhelp.com/en/,https://twitter.com/theairhelper,https://angel.co/airhelp?utm_source=companies,"","consumer, air-fare, airline",false,
Raphael Meyara,"",AlgoValue,"Atlanta, GA, USA",2010,true,Document Automation - ,Companies,Legal Tech,"The AlgoValue SaaS platform provides a suite of efficient, intuitive, accurate and analytical tools which bring disruptive and instant transparency, as well as real-time decision-support data output for smarter investment decisions.",www.algovalue.com,https://twitter.com/AlgoValue,https://angel.co/algovalue?utm_source=companies,"","saas, start-ups, cap-table, vc, investors, term-sheets",false,
"","",Aluvion Law,"Toronto, ON, Canada",2013,true,Document Automation - ,Companies,Legal Tech,Flat-fee services for small and medium enterprizes,aluvionlaw.com,https://twitter.com/aluvionlaw,https://angel.co/aluvion-law?utm_source=companies,"","sme, start-ups, small business, growing business, ip",false,
"","",AppealTrack,"Indianapolis, IN, USA",2008,true,Practice Management - ,Companies,Legal Tech,Case management for property tax appeals.,http://appealtrack.com/,https://twitter.com/AppealTrack,https://angel.co/appealtrack?utm_source=companies,https://www.crunchbase.com/organization/appealtrack,"property tax, appeal, case management",false,
"","",Arachnys,"New York, NY, USA",2010,true,Compliance - ,Companies,Legal Tech,"Arachnys is a technology company specializing in intelligent risk and compliance. What makes us different is that we offer unparalleled control of truly global data. We are the only way to make sure your team see exactly the data they need, retrieved and translated in real-time from the widest collection available worldwide, to empower your decision making in the most efficient and auditable way possible. 

The Arachnys platform is used by several of the world’s largest investment banks, consulting & law firms as well as corporates. ",arachnys.com,"",https://angel.co/arachnys?utm_source=companies,"","dilligence, investigation, auditing, document automation",false,
"","",Arrest SOS,"Dallas, TX, USA",2011,true,Marketplace -  Mobile,Individuals,Legal Tech,The App That Gets You Out Of Jail.,http://arrestsos.com,https://twitter.com/ArrestSOS,https://angel.co/arrest-sos,https://www.crunchbase.com/organization/arrest-sos#section-overview,"find-a-lawyer, mobile, app",false,
"","",Ashem,"New York, NY, USA",2013,true,E-Discovery - ,Unknown,Unknown,We currently operate in a niche and innovative sector of the financial services industry that focuses on the pursuit of litigation claims (when a plaintiff sues in Court for civil redress) to help move the cases forward to completion and victory.,https://www.facebook.com/Ashemllc,"",https://angel.co/ashem,"","",false,
"","",Ategra Computer Technology,"Palmerston, NT",1997,true,E-Discovery - ,Unknown,Unknown,A professional IT Support company specializing in providing reliable & effective support to small and medium-sized businesses throughout the Topend.,ategra.com.au,"","","","",false,
,,AttorneyFee,"San Francisco, CA, USA",2011,true,Marketplace - ,Individuals,Legal Service Using Tech,Find the best attorney for your budget,http://www.attorneyfee.com,https://twitter.com/AttorneyFee,https://angel.co/attorneyfee,http://www.crunchbase.com/organization/attorneyfee,"web, find-a-lawyer, budget",,
,,Audvi,"San Diego, CA, USA",2014,true,E-Discovery - ,Unknown,Unknown,Game changer for people that are Dyslexic and the Vision-impaired by offering ÛÏaudibly-accessibleÛ technology.,audvi.com,,,,"",,
,,Avvo,"Seattle, WA, USA",2007,true,Marketplace - ,Individuals,Legal Service Using Tech,The right attorney makes the difference,http://www.avvo.com/,https://twitter.com/avvo,n/a,http://www.crunchbase.com/organization/avvo,"marketplace, find-a-lawyer",,
,,BackStartup,"Bogota, Colombia",2014,true,Marketplace - ,Unknown,Unknown,"We are revolutionizing the way accounting and legal services are being provided to startups, micro and small enterprises in Latin America.",http://www.backstartup.com/,,,,"",,
,,Big Time Software Inc,"Chicago, IL, USA",2002,true,Practice Management - ,Unknown,Unknown,"BigTime Software, Inc. is a United States-based cloud-based time and billing software company. The Company's browser-based interface for practice management allows professional services firms to instantly deploy and connect BigTime to existing back-office services. The Company's products include Lacerte, Mobile App, QuickBooks Timesheet, BigTime Express and Customer Raves. The Company develops practice management tools that help professional services firms track, manage and invoice their time. Its solutions are designed to speak the language of more than a dozen business types, from accounting and information technology (IT) services to architecture and engineering. It provides its products to a range of industries, such as accounting, technology, architecture and engineering, government contracting, legal and marketing.",http://bigtime.net,,,https://www.crunchbase.com/organization/bigtime-software,"",,
,,Bitproof,"San Francisco, CA, USA",2015,true,E-Discovery - ,Unknown,Unknown,No description yet,bitproof.io,,,,"",,
,,Blue J Legal,"Toronto, ON, Canada",2015,true,Document Automation - ,Companies,Legal Tech,Tax law assistance using IBM Watson,http://www.bluejlegal.com/,https://twitter.com/BlueJLegal,https://angel.co/blue-j-legal,https://www.crunchbase.com/organization/blue-j-legal#/entity,"tax, machine learning, accounting, saas, mars, legalx",,
,,Bluetree Legal Connect,"San Francisco, CA, USA",2013,true,Marketplace - ,Individuals,Legal Service Using Tech,Find an attorney anywhere for free,http://www.bluetreelegal.com,https://twitter.com/BluetreeLegal,https://angel.co/bluetree-legal-connect,n/a,"web, find-a-lawyer",,
,,Briefed,"London, UK",2015,true,Marketplace - ,Unknown,Unknown,"Briefed empowers the worldÛªs lawyers to elevate their practice to the next level : Legal Directory , Master Classes , Legal Industry Intelligence & Mission Control",http://www.briefedlawyer.co.uk/,,,,"",,
,,BriefMine,"San Francisco, CA, USA",2012,true,Legal Research - ,Service Providers,Legal Service Using Tech,A lawyer's first stop in legal research.,http://www.briefmine.com,https://twitter.com/briefmine,https://angel.co/briefmine,http://www.crunchbase.com/organization/briefmine,research,,
,,Brightleaf,"Brookline, MA, USA",1900,true,Analytics -  Contracts,Unknown,Unknown,No description yet,www.brightleaf.com,,,http://www.crunchbase.com/organization/cs-disco,"",,
,,Caldeco,"Tomsk, Russia",2013,true,E-Discovery - ,Unknown,Unknown,Caldeco (http://calde.co) offers a simple way to capture processes' structures and instantiate them when necessary.,calde.co,,,,"",,
,,CapMail,"Paris, France",2015,true,Document Automation - ,Unknown,Unknown,CapMail transforms enterprise mail in a dynamic electronic documents management system.,capmail.eu,,,,"",,
,,Captain Contrat,"Paris, France",2014,true,Document Automation - ,Unknown,Unknown,"Captain Agreement is a service that allows managers of existing businesses or business creators get customized legal documents, customized by lawyers, suited to their legal needs and at a cost 3-4 times less than that of an attorney appointed directly .",http://www.captaincontrat.com/,,,,"",,
